Code,Yahoo Code,Company,Sector
SUN,SUN.AX,Suncorp Group Limited,Financials
WBC,WBC.AX,Westpac Banking Corporation,Financials
CBA,CBA.AX,Commonwealth Bank,Financials
BWP,BWP.AX,BWP Trust,Real Estate
GPT,GPT.AX,GPT Group,Real Estate
MGR,MGR.AX,Mirvac Group,Real Estate
CPU,CPU.AX,Computershare Limited,Information Technology
XRO,XRO.AX,Xero Ltd,Information Technology
WTC,WTC.AX,WiseTech Global Limited,Information Technology
STO,STO.AX,Santos Limited,Energy
VEA,VEA.AX,Viva Energy Group Ltd,Energy
WDS,WDS.AX,Woodside Energy Group Ltd,Energy
SHL,SHL.AX,Sonic Healthcare Limited,Health Care
FPH,FPH.AX,Fisher & Paykel Healthcare Corporatn Ltd,Health Care
CSL,CSL.AX,CSL Limited,Health Care
TWE,TWE.AX,Treasury Wine Estates Limited,Consumer Staples
GNC,GNC.AX,Graincorp Ltd,Consumer Staples
WOW,WOW.AX,Woolworths Group Limited,Consumer Staples
