Combination,Optimized_b,Optimized_Objective,Optimized_Returns,Minimum_Variance
"('SUN', 'BWP', 'CPU', 'STO', 'SHL', 'TWE')","[0.29392940605, 0.1, 0.30607062246, 0.1, 0.1, 0.10000000148]",6.36349786546417,0.00050387236455538,7.918166631122555e-05
"('SUN', 'BWP', 'CPU', 'STO', 'SHL', 'GNC')","[0.27178214085, 0.1, 0.29787196606, 0.1, 0.1, 0.13034592101]",6.759221279909267,0.0005445245598599817,8.056025055408325e-05
"('SUN', 'BWP', 'CPU', 'STO', 'SHL', 'WOW')","[0.2900605825, 0.1, 0.30993942213, 0.10000002057, 0.1, 0.1]",6.151682769836607,0.00046902819966797445,7.624388597665484e-05
"('SUN', 'BWP', 'CPU', 'STO', 'FPH', 'TWE')","[0.30270982899, 0.1, 0.29729020835, 0.1, 0.1, 0.1]",6.548779541939279,0.0005038111376764168,7.693206565436222e-05
"('SUN', 'BWP', 'CPU', 'STO', 'FPH', 'GNC')","[0.28132421523, 0.1, 0.28960079957, 0.1, 0.1, 0.12907501128]",6.960713755702684,0.0005445203794143763,7.82276643639122e-05
"('SUN', 'BWP', 'CPU', 'STO', 'FPH', 'WOW')","[0.298821092, 0.1, 0.30117891607, 0.10000001982, 0.1, 0.1]",6.322305243806963,0.0004689710952532687,7.41772307992644e-05
"('SUN', 'BWP', 'CPU', 'STO', 'CSL', 'TWE')","[0.29696111271, 0.1, 0.29907029921, 0.1, 0.10000038288, 0.10396821792]",6.8741868636738,0.0005360800604974012,7.798450509547273e-05
"('SUN', 'BWP', 'CPU', 'STO', 'CSL', 'GNC')","[0.26999123508, 0.1, 0.28842735271, 0.1, 0.10921987928, 0.13236155292]",7.28513610484865,0.0005721026459383426,7.853012458580938e-05
"('SUN', 'BWP', 'CPU', 'STO', 'CSL', 'WOW')","[0.29560608821, 0.1, 0.30439386018, 0.1, 0.10000008149, 0.1]",6.652715262314237,0.000503020858713635,7.56113615087522e-05
"('SUN', 'BWP', 'CPU', 'VEA', 'SHL', 'TWE')","[0.20873131397, 0.1, 0.23975049199, 0.25151822322, 0.1, 0.1]",8.284319738462209,0.0006337178596286781,7.649606481102733e-05
"('SUN', 'BWP', 'CPU', 'VEA', 'SHL', 'GNC')","[0.21158262672, 0.1, 0.24909774701, 0.23931965582, 0.1, 0.1]",8.487234023753524,0.0006718725442032436,7.916272160315716e-05
"('SUN', 'BWP', 'CPU', 'VEA', 'SHL', 'WOW')","[0.20419507851, 0.10000002743, 0.24142388257, 0.25438096913, 0.10000000547, 0.10000003689]",8.14388057071377,0.000599586428079087,7.362416760325061e-05
"('SUN', 'BWP', 'CPU', 'VEA', 'FPH', 'TWE')","[0.21900524504, 0.1, 0.23277436499, 0.24822041989, 0.1, 0.1]",8.478260022303779,0.000632685300759222,7.462442754702206e-05
"('SUN', 'BWP', 'CPU', 'VEA', 'FPH', 'GNC')","[0.22189549709, 0.1, 0.24211261059, 0.23599192229, 0.1, 0.1]",8.695444623159185,0.000670825908568541,7.714682085167715e-05
