Code,Yahoo Code,Company,Sector,Market Cap,Total Shares,Last trade
BHP,BHP.AX,BHP Group Limited,Materials,238991000000,5062296124.0,47.21
CBA,CBA.AX,Commonwealth Bank,Financials,172512000000,1663728421.0,103.69
CSL,CSL.AX,CSL Limited,Health Care,124602000000,482785075.0,258.09
NAB,NAB.AX,National Australia Bank,Financials,87396900000,3124665713.0,27.97
FMG,FMG.AX,Fortescue Metals Group,Materials,76820200000,3069125050.0,25.03
WBC,WBC.AX,Westpac Banking Corp,Financials,74778400000,3505785279.0,21.33
ANZ,ANZ.AX,ANZ Group Holdings Limited,Financials,73058500000,2994200820.0,24.4
MQG,MQG.AX,Macquarie Group Limited,Financials,64132000000,385223450.0,166.48
WDS,WDS.AX,Woodside Energy Group Ltd,Energy,59810600000,1873178829.0,31.93
WES,WES.AX,Wesfarmers Limited,Consumer Discretionary,59544300000,1137426934.0,52.35
RIO,RIO.AX,Rio Tinto,Materials,46958900000,370338328.0,126.8
TLS,TLS.AX,Telstra Group Limited,Communication Services,43906800000,11615555556.0,3.78
GMG,GMG.AX,Goodman Group,Real Estate,43529300000,1886835717.0,23.07
WOW,WOW.AX,Woolworths Group Limited,Consumer Staples,41863700000,1213088960.0,34.51
TCL,TCL.AX,Transurban Group,Industrials,39684100000,3102744332.0,12.79
ALL,ALL.AX,Aristocrat Leisure Limited,Consumer Discretionary,26013700000,649044411.0,40.08
QBE,QBE.AX,QBE Insurance Group Limited,Financials,22752300000,1487078431.0,15.3
STO,STO.AX,Santos Limited,Energy,22734400000,3215615276.0,7.07
WTC,WTC.AX,WiseTech Global Limited,Information Technology,22048800000,344243560.0,64.05
REA,REA.AX,REA Group Ltd,Communication Services,20787300000,132749856.0,156.59
JHX,JHX.AX,James Hardie Industries plc,Materials,20689100000,441980346.0,46.81
COL,COL.AX,Coles Group Limited,Consumer Staples,20316800000,1330504257.0,15.27
NEM,NEM.AX,Newmont Corporation,Materials,19465100000,340894921.0,57.1
BXB,BXB.AX,Brambles Limited,Industrials,18228700000,1383057663.0,13.18
SUN,SUN.AX,Suncorp Group Limited,Financials,17453400000,1264739130.0,13.8
COH,COH.AX,Cochlear Limited,Health Care,17051800000,65885399.0,258.81
XRO,XRO.AX,Xero Limited,Information Technology,15078900000,151455404.0,99.56
ORG,ORG.AX,Origin Energy Limited,Utilities,14350500000,1676460280.0,8.56
S32,S32.AX,South32 Limited,Materials,14221900000,4529267516.0,3.14
IAG,IAG.AX,Insurance Australia Group Limited,Financials,14183700000,2395895270.0,5.92
CPU,CPU.AX,Computershare Limited,Industrials,14027800000,596673756.0,23.51
SHL,SHL.AX,Sonic Healthcare Limited,Health Care,13668500000,478588936.0,28.56
NST,NST.AX,Northern Star Resources Limited,Materials,13376900000,1159176776.0,11.54
SCG,SCG.AX,Scentre Group Limited,Real Estate,13235500000,5170117188.0,2.56
RMD,RMD.AX,ResMed Inc,Health Care,13234300000,564844217.0,23.43
VAS,VAS.AX,Vanguard Australian Shares Index ETF,Financials,12901500000,147496284.0,87.47
MIN,MIN.AX,Mineral Resources Limited,Materials,12411900000,193875351.0,64.02
REH,REH.AX,Reece Limited,Industrials,12280200000,652161445.0,18.83
FPH,FPH.AX,Fisher & Paykel Healthcare Corporation Limited,Health Care,11917000000,578214459.0,20.61
SOL,SOL.AX,Washington H. Soul Pattinson and Company Limited,Financials,11839700000,358236006.0,33.05
SVW,SVW.AX,Seven Group Holdings Limited,Industrials,11634700000,364267376.0,31.94
RHC,RHC.AX,Ramsay Health Care Limited,Health Care,11363900000,229527368.0,49.51
ASX,ASX.AX,ASX Limited,Financials,11027200000,194277660.0,56.76
PLS,PLS.AX,Pilbara Minerals Limited,Materials,10894300000,2992939560.0,3.64
AIA,AIA.AX,Auckland International Airport Limited,Industrials,10882200000,1478559783.0,7.36
APA,APA.AX,APA Group,Utilities,10699900000,1275315852.0,8.39
CAR,CAR.AX,CAR Group Limited,Communication Services,10522600000,380701881.0,27.64
TLC,TLC.AX,The Lottery Corporation Limited,Consumer Discretionary,9949200000,2235775281.0,4.45
MPL,MPL.AX,Medibank Private Limited,Financials,9694090000,2754002841.0,3.52
SGP,SGP.AX,Stockland,Real Estate,9500940000,2369311721.0,4.01
PME,PME.AX,Pro Medicus Limited,Health Care,9253690000,105060059.0,88.08
QAN,QAN.AX,Qantas Airways Limited,Industrials,9070630000,1724454373.0,5.26
BSL,BSL.AX,BlueScope Steel Limited,Materials,9055980000,448315842.0,20.2
WOR,WOR.AX,Worley Limited,Industrials,9033790000,526751603.0,17.15
AMC,AMC.AX,Amcor Limited,Materials,9019620000,639236003.0,14.11
EDV,EDV.AX,Endeavour Group Limited,Consumer Staples,8829530000,1772997992.0,4.98
AFI,AFI.AX,Australian Foundation Investment Company Limited,Financials,8763240000,1246549075.0,7.03
TPG,TPG.AX,TPG Telecom Limited,Communication Services,8683130000,1863332618.0,4.66
SPK,SPK.AX,Spark New Zealand Limited,Communication Services,8547320000,1830261242.0,4.67
ALX,ALX.AX,Atlas Arteria,Industrials,8356800000,1466105263.0,5.7
VCX,VCX.AX,Vicinity Centres,Real Estate,8262380000,4539769231.0,1.82
TWE,TWE.AX,Treasury Wine Estates Limited,Consumer Staples,8227420000,776904627.0,10.59
SEK,SEK.AX,SEEK Limited,Communication Services,8200190000,358243338.0,22.89
ALD,ALD.AX,Ampol Limited,Energy,8076060000,236834604.0,34.1
GPT,GPT.AX,The GPT Group,Real Estate,7758090000,1915577778.0,4.05
MGR,MGR.AX,Mirvac Group,Real Estate,7753620000,3925883544.0,1.975
MCY,MCY.AX,Mercury NZ Limited,Utilities,7693490000,1368948399.0,5.62
IFT,IFT.AX,Infratil Limited,Industrials,7661710000,831890337.0,9.21
DXS,DXS.AX,Dexus,Real Estate,7485930000,1070948498.0,6.99
ORI,ORI.AX,Orica Limited,Materials,7151220000,458411538.0,15.6
EVN,EVN.AX,Evolution Mining Limited,Materials,6889440000,1872130435.0,3.68
NXT,NXT.AX,NEXTDC Limited,Information Technology,6727230000,520683437.0,12.92
AGL,AGL.AX,AGL Energy Limited,Utilities,6680380000,670720884.0,9.96
AZJ,AZJ.AX,Aurizon Holdings Limited,Industrials,6626530000,1840702778.0,3.6
YAL,YAL.AX,Yancoal Australia Ltd,Energy,6615400000,1320439122.0,5.01
VGS,VGS.AX,Vanguard MSCI Index International Shares ETF,Financials,6588430000,60399982.0,109.08
IGO,IGO.AX,IGO Limited,Materials,6588230000,753802059.0,8.74
ARG,ARG.AX,Argo Investments Limited,Financials,6447750000,758558824.0,8.5
MGOC,MGOC.AX,Magellan Global Fund (Open Class)(Managed Fund) ,Financials,6414760000,2358367647.0,2.72
IEL,IEL.AX,IDP Education Limited,Consumer Discretionary,6276480000,281078370.0,22.33
LYC,LYC.AX,Lynas Rare Earths Limited,Materials,6262450000,945989426.0,6.62
IVV,IVV.AX,iShares S&P 500 ETF,Financials,6243780000,134796632.0,46.32
EBO,EBO.AX,EBOS Group Limited,Health Care,6220470000,194147004.0,32.04
MEZ,MEZ.AX,Meridian Energy Limited,Utilities,6065060000,1266192067.0,4.79
SDF,SDF.AX,Steadfast Group Limited,Financials,5935190000,1079125455.0,5.5
WHC,WHC.AX,Whitehaven Coal Limited,Energy,5889670000,809020604.0,7.28
ALU,ALU.AX,Altium Limited,Information Technology,5835120000,133435170.0,43.73
ALQ,ALQ.AX,ALS Limited,Industrials,5814850000,476627049.0,12.2
CWY,CWY.AX,Cleanaway Waste Management Limited,Industrials,5593370000,2237348000.0,2.5
IPL,IPL.AX,Incitec Pivot Limited,Materials,5554760000,1955901408.0,2.84
BLD,BLD.AX,Boral Limited,Materials,5438230000,1103089249.0,4.93
AKE,AKE.AX,Allkem Limited,Materials,5434230000,642343972.0,8.46
QUB,QUB.AX,Qube Holdings Limited,Industrials,5176470000,1766713311.0,2.93
TNE,TNE.AX,Technology One Limited,Information Technology,5135920000,342394667.0,15.0
JBH,JBH.AX,JB Hi-Fi Limited,Consumer Discretionary,5114640000,110205559.0,46.41
BEN,BEN.AX,Bendigo and Adelaide Bank Limited,Financials,4984940000,563270056.0,8.85
CHC,CHC.AX,Charter Hall Group,Real Estate,4772540000,465613659.0,10.25
DMP,DMP.AX,Domino's Pizza Enterprises Limited,Consumer Discretionary,4733990000,90985777.0,52.03
VEA,VEA.AX,Viva Energy Group Limited,Energy,4709710000,1549246711.0,3.04
STW,STW.AX,SPDR S&P/ASX 200 Fund,Financials,4638200000,72847495.0,63.67
NHC,NHC.AX,New Hope Corporation Limited,Energy,4497180000,834356215.0,5.39
IOZ,IOZ.AX,iShares Core S&P/ASX 200 ETF,Financials,4495100000,158000000.0,28.45
HVN,HVN.AX,Harvey Norman Holdings Limited,Consumer Discretionary,4485620000,1249476323.0,3.59
LLC,LLC.AX,Lendlease Group,Real Estate,4434340000,687494574.0,6.45
FLT,FLT.AX,Flight Centre Travel Group Limited,Consumer Discretionary,4182970000,220040505.0,19.01
QUAL,QUAL.AX,VanEck MSCI International Quality ETF ,Financials,4165250000,89115319.0,46.74
GQG,GQG.AX,GQG Partners Inc.,Financials,4133930000,2952807143.0,1.4
CGF,CGF.AX,Challenger Limited,Financials,4000140000,690870466.0,5.79
CIA,CIA.AX,Champion Iron Limited,Materials,3962350000,514590909.0,7.7
BKW,BKW.AX,Brickworks Limited,Materials,3815320000,151762928.0,25.14
PMV,PMV.AX,Premier Investments Limited,Consumer Discretionary,3812660000,161484964.0,23.61
VTS,VTS.AX,Vanguard US Total Market Shares Index ETF,Financials,3686410000,10742853.0,343.15
NHF,NHF.AX,NIB Holdings Limited,Financials,3656290000,482360158.0,7.58
BOQ,BOQ.AX,Bank of Queensland Limited,Financials,3648060000,657308108.0,5.55
NDQ,NDQ.AX,BetaShares NASDAQ 100 ETF,Financials,3626160000,97977844.0,37.01
MTS,MTS.AX,Metcash Limited,Consumer Staples,3585810000,974404891.0,3.68
A200,A200.AX,BetaShares Australia 200 ETF ,Financials,3491290000,29662617.0,117.7
APE,APE.AX,Eagers Automotive Limited,Consumer Discretionary,3486140000,260743455.0,13.37
SMR,SMR.AX,Stanmore Resources Limited,Materials,3470360000,906099217.0,3.83
NWL,NWL.AX,Netwealth Group Limited,Financials,3450530000,242824068.0,14.21
BPT,BPT.AX,Beach Energy Limited,Energy,3444810000,2296540000.0,1.5
BRG,BRG.AX,Breville Group Limited,Consumer Discretionary,3373360000,144903780.0,23.28
LTR,LTR.AX,Liontown Resources Limited,Materials,3368970000,2406407143.0,1.4
ORA,ORA.AX,Orora Group Limited,Materials,3345310000,1338124000.0,2.5
AAA,AAA.AX,BetaShares Australian High Interest Cash ETF,Financials,3334510000,66398049.0,50.22
