Date,Commonwealth Government 2 year bond,Commonwealth Government 3 year bond,Commonwealth Government 5 year bond,Commonwealth Government 10 year bond,Commonwealth Government Indexed Bond,NSW Treasury Corporation 3 year bond,NSW Treasury Corporation 5 year bond,NSW Treasury Corporation 10 year bond
Jan-2021,0.08,0.10,0.37,1.05,-0.74,0.19,0.47,1.29
Feb-2021,0.10,0.11,0.48,1.33,-0.58,0.19,0.57,1.50
Mar-2021,0.09,0.10,0.71,1.71,-0.37,0.32,0.83,1.92
Apr-2021,0.07,0.10,0.69,1.68,-0.46,0.34,0.81,1.86
May-2021,0.07,0.10,0.70,1.66,-0.55,0.29,0.80,1.83
Jun-2021,0.04,0.14,0.73,1.53,-0.54,0.35,0.86,1.77
Jul-2021,0.04,0.16,0.64,1.25,-0.75,0.38,0.81,1.59
Aug-2021,0.02,0.15,0.57,1.14,-0.81,0.35,0.76,1.51
Sep-2021,0.01,0.19,0.66,1.28,-0.69,0.37,0.86,1.68
Oct-2021,0.16,0.58,1.11,1.71,-0.46,0.75,1.25,2.02
Nov-2021,0.56,0.95,1.38,1.81,-0.38,1.15,1.59,2.18
Dec-2021,0.53,0.93,1.32,1.61,-0.54,1.14,1.54,1.94
Jan-2022,0.72,1.15,1.54,1.89,-0.38,1.33,1.76,2.25
Feb-2022,1.02,1.48,1.81,2.11,-0.17,1.66,2.07,2.52
Mar-2022,1.34,1.88,2.21,2.50,-0.02,2.07,2.46,2.87
Apr-2022,2.15,2.54,2.77,3.01,0.49,2.71,3.02,3.37
May-2022,2.60,2.89,3.09,3.38,0.91,3.09,3.36,3.78
Jun-2022,2.93,3.29,3.50,3.77,1.34,3.58,3.86,4.28
Jul-2022,2.69,3.01,3.16,3.43,1.25,3.38,3.60,4.03
Aug-2022,2.90,3.08,3.16,3.37,1.02,3.38,3.55,3.96
Sep-2022,3.25,3.41,3.50,3.75,1.53,3.72,3.90,4.33
Oct-2022,3.31,3.45,3.61,3.92,1.63,3.83,4.08,4.59
Nov-2022,3.19,3.27,3.42,3.71,1.35,3.72,3.94,4.44
Dec-2022,3.16,3.19,3.31,3.57,1.13,3.61,3.80,4.31
Jan-2023,3.17,3.22,3.34,3.62,1.19,3.64,3.81,4.39
Feb-2023,3.41,3.40,3.48,3.71,1.25,3.76,3.89,4.46
Mar-2023,3.16,3.12,3.22,3.47,1.15,3.56,3.68,4.29
Apr-2023,3.02,2.99,3.07,3.34,1.02,3.41,3.50,4.10
May-2023,3.33,3.20,3.24,3.50,1.16,3.56,3.64,4.25
Jun-2023,3.99,3.84,3.79,3.92,1.47,4.14,4.17,4.66
Jul-2023,4.09,3.98,3.92,4.03,1.59,4.28,4.30,4.78
Aug-2023,3.90,3.83,3.87,4.13,1.66,4.12,4.21,4.83
Sep-2023,3.95,3.90,3.94,4.21,1.70,4.17,4.26,4.87
Oct-2023,4.19,4.12,4.24,4.63,2.05,4.41,4.59,5.32
Nov-2023,4.25,4.19,4.25,4.58,1.98,4.45,4.60,5.27
